observe	dish	drug	time	numCell	numSynapse	numVesicle
1	1	d1	t1	4.9	13.2	756.7978
2	2	d1	t1	5.3	18.9	1470.4
3	3	d1	t1	2.8	15	350.4711
4	4	d1	t1	2.3	18.8	563.0955
5	5	d1	t1	3.9	13.3	1622.744
6	6	d1	t1	6.2	20.875	549.771125
7	1	d2	t1	28.2	35.1	1864.7812
8	2	d2	t1	28.6	31.5	976.1716
9	3	d2	t1	8.9	23.9	1039.5034
10	4	d2	t1	13.4	22.6	1062.5489
11	5	d2	t1	13.9	15.66666667	1083.588444
12	6	d2	t1	4.4	15	956.304
13	1	d1	t2	19.7	29.7	1542.9773
14	2	d1	t2	47.3	32.6	1551.552
15	3	d1	t2	39	30.4	1305.2833
16	4	d1	t2	29	29.5	1223.0603
17	5	d1	t2	59.4	29.5	2163.8537
18	6	d1	t2	35	33	879.1457
19	1	d2	t2	180.9	22.9	1526.9802
20	2	d2	t2	259.8	26.6	1423.0062
21	3	d2	t2	148.3	30.8	1531.2228
22	4	d2	t2	91.1	24.2	1293.0397
23	5	d2	t2	189.3	27.3	1711.7601
24	6	d2	t2	145.3	29.5	1292.2066
